"ISSN","Journal","Abbr_Name","Is_SCI","IF2018","IF_5year","Self_citing","H_Index","CiteScore","Division","Category","Discipline","IsTop","IsReview","Publication_Cycle","Article_NO._per_year","Publication_year","Region","OA","Employment","Refereeing","View","Url"
"1246-7820","TRANSFUSION CLINIQUE ET BIOLOGIQUE","TRANSFUS CLIN BIOL","SCIE",0.936,0.707,12.3,35,0.63,"4区","医学","血液学","否","否","Bimonthly","63",1994,"FRANCE","No","容易","较慢,6-12周",3555,"https://www.letpub.com.cn/index.php?journalid=7883&page=journalapp&view=detail"
"0958-7578","TRANSFUSION MEDICINE","TRANSFUSION MED","SCI/SCIE",1.798,1.615,27,53,1.26,"4区","医学","血液学","否","否","Bimonthly","54",1991,"ENGLAND","No","容易","较慢,6-12周",6779,"https://www.letpub.com.cn/index.php?journalid=7884&page=journalapp&view=detail"
"1660-3796","TRANSFUSION MEDICINE AND HEMOTHERAPY","TRANSFUS MED HEMOTH","SCI/SCIE",2.152,2.295,2.4,30,1.95,"4区","医学","血液学","否","否","Bimonthly","45",2003,"SWITZERLAND","No","较易","较慢,6-12周",3961,"https://www.letpub.com.cn/index.php?journalid=7885&page=journalapp&view=detail"
"0887-7963","TRANSFUSION MEDICINE REVIEWS","TRANSFUS MED REV","SCI/SCIE",4.111,3.976,2.7,62,3.92,"2区","医学","血液学","否","是","Quarterly","31",1987,"UNITED STATES","No","一般",">12周，或约稿",5546,"https://www.letpub.com.cn/index.php?journalid=7886&page=journalapp&view=detail"
"0962-8819","TRANSGENIC RESEARCH","TRANSGENIC RES","SCI/SCIE",2.197,2.083,4.8,74,2.2,"3区","生物","生化研究方法","否","否","Bimonthly","69",1991,"NETHERLANDS","No","较易","偏慢,4-8周",10445,"https://www.letpub.com.cn/index.php?journalid=7887&page=journalapp&view=detail"
"0340-4285","TRANSITION METAL CHEMISTRY","TRANSIT METAL CHEM","SCI/SCIE",1.261,1.099,11.5,49,1.24,"4区","化学","无机化学与核化学","否","否","Bimonthly","86",0,"NETHERLANDS","No","80%","约1.0个月",20099,"https://www.letpub.com.cn/index.php?journalid=7888&page=journalapp&view=detail"
"1936-5233","Translational Oncology","TRANSL ONCOL","SCIE",3.071,3.201,2.1,39,3.23,"3区","医学","肿瘤学","否","否","Quarterly","116",2007,NA,"No","较易","较慢,6-12周",7526,"https://www.letpub.com.cn/index.php?journalid=7889&page=journalapp&view=detail"
"1931-5244","Translational Research","TRANSL RES","SCI/SCIE",4.88,4.496,1.9,81,4.26,"2区","医学","医学实验技术","是","否","Monthly","113",2006,"UNITED STATES","No","一般","较慢,6-12周",11506,"https://www.letpub.com.cn/index.php?journalid=7890&page=journalapp&view=detail"
"0966-3274","TRANSPLANT IMMUNOLOGY","TRANSPL IMMUNOL","SCI/SCIE",1.655,1.657,4.2,57,1.61,"4区","医学","免疫学","否","否","Quarterly","42",1993,"NETHERLANDS","No","较易","较慢,6-12周",4474,"https://www.letpub.com.cn/index.php?journalid=7891&page=journalapp&view=detail"
"1398-2273","Transplant Infectious Disease","TRANSPL INFECT DIS","SCIE",1.869,1.986,7.8,58,1.89,"4区","医学","免疫学","否","否","Quarterly","143",1999,"UNITED STATES","No","容易","偏慢,4-8周",3988,"https://www.letpub.com.cn/index.php?journalid=7892&page=journalapp&view=detail"
"0934-0874","TRANSPLANT INTERNATIONAL","TRANSPL INT","SCI/SCIE",3.196,2.913,9.2,71,2.28,"3区","医学","外科","否","否","Monthly","110",1988,"ENGLAND","No","较难","一般,3-8周",4448,"https://www.letpub.com.cn/index.php?journalid=7893&page=journalapp&view=detail"
"0041-1337","TRANSPLANTATION","TRANSPLANTATION","SCI/SCIE",3.96,3.786,11.1,191,2.62,"2区","医学","免疫学","否","否","Semimonthly","401",1963,"UNITED STATES","No","约80%","平均1月",7137,"https://www.letpub.com.cn/index.php?journalid=7894&page=journalapp&view=detail"
"0041-1345","TRANSPLANTATION PROCEEDINGS","TRANSPL P","SCI/SCIE",0.806,0.938,10.5,76,0.89,"4区","医学","免疫学","否","否","Bimonthly","466",1969,"UNITED STATES","No","容易","很快,2-3周",10136,"https://www.letpub.com.cn/index.php?journalid=7895&page=journalapp&view=detail"
"1648-4142","Transport","","SCIE",0,0,NA,22,1.26,"4区","工程技术","运输科技","否","否","Quarterly","47",0,NA,"No","容易","平均 6 个月的审稿周期",5979,"https://www.letpub.com.cn/index.php?journalid=7896&page=journalapp&view=detail"
"0169-3913","TRANSPORT IN POROUS MEDIA","TRANSPORT POROUS MED","SCI/SCIE",2.211,2.242,8.5,69,2.42,"3区","工程技术","工程：化工","否","否","Monthly","170",0,"NETHERLANDS","No","容易","约3.0个月",34752,"https://www.letpub.com.cn/index.php?journalid=7897&page=journalapp&view=detail"
"0041-1450","TRANSPORT THEORY AND STATISTICAL PHYSICS","TRANSPORT THEOR STAT","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Bimonthly","12",1971,"UNITED STATES","No","容易",">12周，或约稿",4774,"https://www.letpub.com.cn/index.php?journalid=7898&page=journalapp&view=detail"
"0049-4488","TRANSPORTATION","TRANSPORTATION","SCI/SCIE",3.151,3.371,3.6,64,2.85,"3区","工程技术","工程：土木","否","否","Quarterly","76",1972,"NETHERLANDS","No","较易","较慢,6-12周",13702,"https://www.letpub.com.cn/index.php?journalid=7899&page=journalapp&view=detail"
"0308-1060","TRANSPORTATION PLANNING AND TECHNOLOGY","TRANSPORT PLAN TECHN","SCIE",0.663,1.017,8.9,32,0.86,"4区","工程技术","运输科技","否","否","Bimonthly","53",0,"ENGLAND","No","容易","约12.0个月",11236,"https://www.letpub.com.cn/index.php?journalid=7900&page=journalapp&view=detail"
"0965-8564","TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE","TRANSPORT RES A-POL","SCI/SCIE",3.026,3.809,15.8,NA,3.64,"3区","工程技术","运输科技","否","否","Monthly","249",1992,"ENGLAND","No","较易","约9.0个月",18001,"https://www.letpub.com.cn/index.php?journalid=7901&page=journalapp&view=detail"
"0191-2615","TRANSPORTATION RESEARCH PART B-METHODOLOGICAL","TRANSPORT RES B-METH","SCI/SCIE",4.081,5.109,27.7,NA,5.09,"2区","工程技术","工程：土木","是","否","Monthly","205",0,"ENGLAND","No","较易","约6.3个月",30217,"https://www.letpub.com.cn/index.php?journalid=7902&page=journalapp&view=detail"
"0968-090X","TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES","TRANSPORT RES C-EMER","SCIE",3.968,4.557,20.4,NA,5.17,"2区","工程技术","运输科技","否","否","Bimonthly","234",1993,"ENGLAND","No","较易","约12.0个月",28683,"https://www.letpub.com.cn/index.php?journalid=7903&page=journalapp&view=detail"
"1361-9209","TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","TRANSPORT RES D-TR E","SCIE",3.445,3.788,17.1,NA,3.95,"3区","工程技术","运输科技","否","否","Bimonthly","256",0,"ENGLAND","No","容易","较慢,6-12周",19116,"https://www.letpub.com.cn/index.php?journalid=7904&page=journalapp&view=detail"
"1366-5545","TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","SCIE",3.289,4.093,17.8,NA,4.03,"2区","工程技术","工程：土木","否","否","Bimonthly","130",0,"ENGLAND","No","较易","约3.0个月",20073,"https://www.letpub.com.cn/index.php?journalid=7905&page=journalapp&view=detail"
"0361-1981","TRANSPORTATION RESEARCH RECORD","TRANSPORT RES REC","SCI/SCIE",0.695,0.954,21.7,NA,0.83,"4区","工程技术","工程：土木","否","否","Irregular","681",1963,"UNITED STATES","No","容易","约3.0个月",26782,"https://www.letpub.com.cn/index.php?journalid=7906&page=journalapp&view=detail"
"0041-1655","TRANSPORTATION SCIENCE","TRANSPORT SCI","SCI/SCIE",3.338,4.581,5.3,93,4.27,"2区","工程技术","运筹学与管理科学","否","否","Quarterly","77",0,"UNITED STATES","No","较易","约12.0个月",21547,"https://www.letpub.com.cn/index.php?journalid=7907&page=journalapp&view=detail"
"1812-8602","Transportmetrica","TRANSPORTMETRICA","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Tri-annual","0",0,"PEOPLES R CHINA","No","容易",">12周，或约稿",6764,"https://www.letpub.com.cn/index.php?journalid=7908&page=journalapp&view=detail"
"0041-1868","TRAVAIL HUMAIN","TRAV HUMAIN","SCIE",0.879,0.646,24.1,17,0.67,"4区","管理科学","工程：工业","否","否","Quarterly","17",1933,"FRANCE","No","容易",">12周，或约稿",4478,"https://www.letpub.com.cn/index.php?journalid=7909&page=journalapp&view=detail"
"1614-2942","Tree Genetics & Genomes","TREE GENET GENOMES","SCIE",1.829,2.174,14.4,NA,2.2,"4区","生物","林学","否","否","Quarterly","130",2005,"GERMANY","No","约50%","平均3月",16774,"https://www.letpub.com.cn/index.php?journalid=7910&page=journalapp&view=detail"
"0829-318X","TREE PHYSIOLOGY","TREE PHYSIOL","SCI/SCIE",3.389,3.94,15,112,3.38,"1区","农林科学","林学","是","否","Monthly","145",1986,"CANADA","No","较难","偏慢,6-12周",32190,"https://www.letpub.com.cn/index.php?journalid=7911&page=journalapp&view=detail"
"1536-1098","Tree-Ring Research","TREE-RING RES","SCIE",1.136,2.268,0,21,1.76,"2区","农林科学","林学","否","否","Semiannual","15",0,"UNITED STATES","No","容易",">36周，或约稿",4654,"https://www.letpub.com.cn/index.php?journalid=7912&page=journalapp&view=detail"
"0931-1890","TREES-STRUCTURE AND FUNCTION","TREES-STRUCT FUNCT","SCI/SCIE",1.782,1.962,7.2,NA,1.88,"3区","农林科学","林学","否","否","Bimonthly","151",1986,"UNITED STATES","No","较易","约3.0个月",22238,"https://www.letpub.com.cn/index.php?journalid=7913&page=journalapp&view=detail"
"0968-0004","TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","SCI/SCIE",15.678,14.685,0.9,248,12.38,"1区","生物","生化与分子生物学","是","是","Monthly","70",1976,"NETHERLANDS","No","多是约稿","较慢,6-12周",14792,"https://www.letpub.com.cn/index.php?journalid=7914&page=journalapp&view=detail"
"0167-7799","TRENDS IN BIOTECHNOLOGY","TRENDS BIOTECHNOL","SCI/SCIE",13.578,14.635,2.5,184,9.69,"1区","工程技术","生物工程与应用微生物","是","是","Monthly","84",0,"NETHERLANDS","No","多是约稿","约1.0个月",29611,"https://www.letpub.com.cn/index.php?journalid=7915&page=journalapp&view=detail"
"1050-1738","TRENDS IN CARDIOVASCULAR MEDICINE","TRENDS CARDIOVAS MED","SCI/SCIE",4.598,3.694,4.8,89,2.15,"2区","医学","心脏和心血管系统","否","是","Bimonthly","46",1991,"UNITED STATES","No","容易",">12周，或约稿",5643,"https://www.letpub.com.cn/index.php?journalid=7916&page=journalapp&view=detail"
"0962-8924","TRENDS IN CELL BIOLOGY","TRENDS CELL BIOL","SCI/SCIE",18.564,15.211,0.9,211,14.28,"1区","生物","细胞生物学","是","是","Monthly","74",0,"ENGLAND","No","多是约稿","较慢,6-12周",10720,"https://www.letpub.com.cn/index.php?journalid=7917&page=journalapp&view=detail"
"1364-6613","TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","SCI/SCIE",15.557,22.838,2.8,259,10.24,"1区","医学","行为科学","是","是","Monthly","71",1997,"ENGLAND","No","多是约稿","较慢,6-12周",10277,"https://www.letpub.com.cn/index.php?journalid=7918&page=journalapp&view=detail"
"0169-5347","TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","SCI/SCIE",15.938,19.349,3.4,NA,10.35,"1区","生物","生态学","是","是","Monthly","72",0,"ENGLAND","No","多是约稿","较慢,6-12周",19386,"https://www.letpub.com.cn/index.php?journalid=7919&page=journalapp&view=detail"
"1043-2760","TRENDS IN ENDOCRINOLOGY AND METABOLISM","TRENDS ENDOCRIN MET","SCI/SCIE",10.769,10.774,0.7,142,8.84,"1区","医学","内分泌学与代谢","是","是","Monthly","68",1989,"UNITED STATES","No","多是约稿","较慢,6-12周",11391,"https://www.letpub.com.cn/index.php?journalid=7920&page=journalapp&view=detail"
"0924-2244","TRENDS IN FOOD SCIENCE & TECHNOLOGY","TRENDS FOOD SCI TECH","SCI/SCIE",6.609,7.819,5.5,NA,6.67,"1区","工程技术","食品科技","是","是","Irregular","183",0,"ENGLAND","No","约50%","约1.0个月",32795,"https://www.letpub.com.cn/index.php?journalid=7921&page=journalapp&view=detail"
"0168-9525","TRENDS IN GENETICS","TRENDS GENET","SCI/SCIE",10.556,10.875,0.8,203,9.51,"1区","生物","遗传学","是","是","Monthly","72",0,"NETHERLANDS","No","多是约稿","较慢,6-12周",11864,"https://www.letpub.com.cn/index.php?journalid=7922&page=journalapp&view=detail"
"0915-7352","TRENDS IN GLYCOSCIENCE AND GLYCOTECHNOLOGY","TRENDS GLYCOSCI GLYC","SCIE",0.3,0.4,22.3,33,0.21,"4区","生物","生化与分子生物学","否","是","Bimonthly","9",1989,"JAPAN","No","容易",">12周，或约稿",4001,"https://www.letpub.com.cn/index.php?journalid=7923&page=journalapp&view=detail"
"1471-4906","TRENDS IN IMMUNOLOGY","TRENDS IMMUNOL","SCI/SCIE",14.188,13.126,1.4,202,10.82,"1区","医学","免疫学","是","是","Monthly","73",2001,"UNITED STATES","No","多是约稿","较慢,6-12周",11509,"https://www.letpub.com.cn/index.php?journalid=7924&page=journalapp&view=detail"
"0966-842X","TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","SCI/SCIE",11.776,11.149,1.3,164,7.97,"1区","生物","生化与分子生物学","是","是","Monthly","76",1993,"UNITED STATES","No","多是约稿","较慢,6-12周",14153,"https://www.letpub.com.cn/index.php?journalid=7925&page=journalapp&view=detail"
"1471-4914","TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","SCI/SCIE",11.021,11.365,0.6,153,9.13,"1区","医学","生化与分子生物学","是","是","Monthly","72",2001,"ENGLAND","No","多是约稿","较慢,6-12周",10090,"https://www.letpub.com.cn/index.php?journalid=7926&page=journalapp&view=detail"
"0166-2236","TRENDS IN NEUROSCIENCES","TRENDS NEUROSCI","SCI/SCIE",11.439,13.581,0.5,262,10.29,"1区","医学","神经科学","是","是","Monthly","51",0,"NETHERLANDS","No","多是约稿","较慢,6-12周",9814,"https://www.letpub.com.cn/index.php?journalid=7927&page=journalapp&view=detail"
"1471-4922","TRENDS IN PARASITOLOGY","TRENDS PARASITOL","SCI/SCIE",7.929,7.178,3.7,126,4.88,"1区","医学","寄生虫学","是","是","Monthly","74",2001,"UNITED STATES","No","一般","较慢,6-12周",8026,"https://www.letpub.com.cn/index.php?journalid=7928&page=journalapp&view=detail"
"0165-6147","TRENDS IN PHARMACOLOGICAL SCIENCES","TRENDS PHARMACOL SCI","SCI/SCIE",12.108,11.89,1.1,195,9.58,"1区","医学","药学","是","是","Monthly","75",0,"NETHERLANDS","No","多是约稿","较慢,6-12周",17925,"https://www.letpub.com.cn/index.php?journalid=7929&page=journalapp&view=detail"
"1360-1385","TRENDS IN PLANT SCIENCE","TRENDS PLANT SCI","SCI/SCIE",12.149,13.181,3.4,222,8.83,"1区","生物","植物科学","是","是","Monthly","83",1996,"ENGLAND","No","多是约稿","较慢,6-12周",31627,"https://www.letpub.com.cn/index.php?journalid=7930&page=journalapp&view=detail"
"1745-6215","Trials","TRIALS","SCIE",2.067,2.343,9.1,57,2.17,"4区","医学","医学：研究与实验","否","否","Bimonthly","585",2006,"ENGLAND","Yes","容易","平均4月",17171,"https://www.letpub.com.cn/index.php?journalid=7931&page=journalapp&view=detail"
"1545-858X","TRIBOLOGY & LUBRICATION TECHNOLOGY","TRIBOL LUBR TECHNOL","SCIE",0.16,0.112,35.6,NA,0.13,"4区","工程技术","工程：机械","否","否","Monthly","87",0,"UNITED STATES","No","容易","较慢,6-12周",10545,"https://www.letpub.com.cn/index.php?journalid=7932&page=journalapp&view=detail"
"0301-679X","TRIBOLOGY INTERNATIONAL","TRIBOL INT","SCI/SCIE",3.246,3.276,25.9,94,3.55,"2区","工程技术","工程：机械","否","否","Monthly","470",0,"ENGLAND","No","较易","约6.0个月",70681,"https://www.letpub.com.cn/index.php?journalid=7933&page=journalapp&view=detail"
"1023-8883","TRIBOLOGY LETTERS","TRIBOL LETT","SCI/SCIE",2.182,2.454,16.7,75,2.33,"3区","工程技术","工程：化工","否","否","Monthly","160",1995,"UNITED STATES","No","50%","约2.5个月",34326,"https://www.letpub.com.cn/index.php?journalid=7934&page=journalapp&view=detail"
"1040-2004","TRIBOLOGY TRANSACTIONS","TRIBOL T","SCI/SCIE",1.723,1.78,20,55,1.57,"3区","工程技术","工程：机械","否","否","Quarterly","114",0,"UNITED STATES","No","容易","约4.5个月",25399,"https://www.letpub.com.cn/index.php?journalid=7935&page=journalapp&view=detail"
"0041-3216","TROPICAL AGRICULTURE","","无",0,0,NA,15,0.12,"未录","","",NA,NA,"Quarterly","0",0,NA,"No","容易","",3334,"https://www.letpub.com.cn/index.php?journalid=7936&page=journalapp&view=detail"
"0049-4747","TROPICAL ANIMAL HEALTH AND PRODUCTION","TROP ANIM HEALTH PRO","SCI/SCIE",0.975,1.205,17.6,38,1.11,"4区","农林科学","奶制品与动物科学","否","否","Bimonthly","236",1969,"NETHERLANDS","No","容易","较快,6-12周",7795,"https://www.letpub.com.cn/index.php?journalid=7937&page=journalapp&view=detail"
"0127-5720","TROPICAL BIOMEDICINE","TROP BIOMED","SCIE",0.393,0.782,10.2,27,0.69,"4区","医学","寄生虫学","否","否","Semiannual","116",1984,"MALAYSIA","No","容易","较慢,6-12周",4982,"https://www.letpub.com.cn/index.php?journalid=7938&page=journalapp&view=detail"
"0049-4755","TROPICAL DOCTOR","TROP DOCT","SCIE",0.565,0.642,7.3,30,0.54,"4区","医学","公共卫生、环境卫生与职业卫生","否","否","Quarterly","96",1971,"ENGLAND","No","约25%","平均3月",3832,"https://www.letpub.com.cn/index.php?journalid=7939&page=journalapp&view=detail"
"0564-3295","TROPICAL ECOLOGY","TROP ECOL","SCIE",1.189,1.179,30.2,24,1.45,"4区","环境科学与生态学","生态学","否","否","Semiannual","60",1961,"INDIA","No","容易",">12周，或约稿",4503,"https://www.letpub.com.cn/index.php?journalid=7940&page=journalapp&view=detail"
"0049-4763","",NA,"无",0,0,NA,NA,NA,"未录","","",NA,NA,"Quarterly","0",0,NA,"No","容易","",3090,"https://www.letpub.com.cn/index.php?journalid=7941&page=journalapp&view=detail"
"1596-5996","TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH","TROP J PHARM RES","SCIE",0.444,0.735,9.9,26,0.66,"4区","医学","药学","否","否","Semiannual","350",2002,"NIGERIA","Yes","容易","偏慢,4-8周",10420,"https://www.letpub.com.cn/index.php?journalid=7942&page=journalapp&view=detail"
"1360-2276","TROPICAL MEDICINE & INTERNATIONAL HEALTH","TROP MED INT HEALTH","SCI/SCIE",2.541,2.985,2.5,NA,2.95,"3区","医学","公共卫生、环境卫生与职业卫生","否","否","Monthly","158",1996,"ENGLAND","No","约50%","平均6月",5631,"https://www.letpub.com.cn/index.php?journalid=7943&page=journalapp&view=detail"
"1982-5676","Tropical Plant Pathology","TROP PLANT PATHOL","无",0,0,NA,16,1.07,"未录","","","否","否","Bimonthly","72",2008,"BRAZIL","No","容易","较慢,6-12周",5086,"https://www.letpub.com.cn/index.php?journalid=7944&page=journalapp&view=detail"
"0394-6975","TROPICAL ZOOLOGY","TROP ZOOL","SCIE",0.778,0.746,0,19,0.71,"4区","生物","动物学","否","否","Semiannual","14",0,"ITALY","No","容易",">12周，或约稿",3747,"https://www.letpub.com.cn/index.php?journalid=7945&page=journalapp&view=detail"
"1472-9792","TUBERCULOSIS","TUBERCULOSIS","SCIE",2.727,2.686,4.1,77,2.6,"3区","医学","免疫学","否","否","Bimonthly","89",2001,"ENGLAND","No","一般","平均1月",12211,"https://www.letpub.com.cn/index.php?journalid=7946&page=journalapp&view=detail"
"1010-4283","TUMOR BIOLOGY","TUMOR BIOL","无",0,0,NA,63,3.27,"未录","","",NA,NA,"Bimonthly","1625",1984,"SWITZERLAND","No","约27.5%","约1.0个月",65491,"https://www.letpub.com.cn/index.php?journalid=7947&page=journalapp&view=detail"
"0300-8916","TUMORI","TUMORI","SCI/SCIE",0,0,NA,48,0.96,"4区","医学","肿瘤学","否","否","Bimonthly","106",1911,"ITALY","No","约75%","平均6月",11036,"https://www.letpub.com.cn/index.php?journalid=7948&page=journalapp&view=detail"
"0886-7798","TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY","TUNN UNDERGR SP TECH","SCIE",2.418,2.822,30.5,68,3.11,"3区","工程技术","结构与建筑技术","否","否","Bimonthly","200",0,"ENGLAND","No","容易","约6.0个月",41563,"https://www.letpub.com.cn/index.php?journalid=7949&page=journalapp&view=detail"
"1304-2947","Turkish Journal of Geriatrics-Turk Geriatri Dergisi","TURK J GERIATR","SCIE",0.141,0.146,46.1,NA,0.15,"4区","医学","老年医学","否","否","Quarterly","44",2003,"TURKEY","Yes","容易","较慢,6-12周",3790,"https://www.letpub.com.cn/index.php?journalid=7950&page=journalapp&view=detail"
"1301-5680","Turk Gogus Kalp Damar Cerrahisi Dergisi-Turkish Journal of Thoracic and Cardiovascular Surgery","TURK GOGUS KALP DAMA","SCIE",0.202,0.181,70.3,NA,0.17,"4区","医学","外科","否","否","Quarterly","106",0,"TURKEY","No","容易","一般,3-8周",4262,"https://www.letpub.com.cn/index.php?journalid=7951&page=journalapp&view=detail"
"1306-0015","TURK PEDIATRI ARSIVI-TURKISH ARCHIVES OF PEDIATRICS","TURK PEDIATR ARSIVI","无",0,0,NA,NA,0.63,"未录","","",NA,NA,"Quarterly","61",1997,NA,"No","容易","较慢,6-12周",3268,"https://www.letpub.com.cn/index.php?journalid=7952&page=journalapp&view=detail"
"1019-214X","TURKDERM-ARCHIVES OF THE TURKISH DERMATOLOGY AND VENEROLOGY","TURKDERM-ARCH TURK D","无",0,0,NA,NA,0.1,"未录","","",NA,NA,"Quarterly","40",0,"TURKEY","No","容易","较慢,6-12周",3252,"https://www.letpub.com.cn/index.php?journalid=7953&page=journalapp&view=detail"
"1300-011X","Turkish Journal of Agriculture and Forestry","TURK J AGRIC FOR","SCIE",1.434,1.325,13.2,NA,1.69,"3区","农林科学","农艺学","否","否","Bimonthly","49",1994,"TURKEY","Yes","容易","约12.0个月",9166,"https://www.letpub.com.cn/index.php?journalid=7954&page=journalapp&view=detail"
"0250-4685","Turkish Journal of Biochemistry-Turk Biyokimya Dergisi","TURK J BIOCHEM","SCIE",0.248,0.356,11.3,NA,NA,"4区","生物","生化与分子生物学","否","否","Quarterly","82",1976,"TURKEY","Yes","容易","较慢,6-12周",5837,"https://www.letpub.com.cn/index.php?journalid=7955&page=journalapp&view=detail"
"1300-0152","TURKISH JOURNAL OF BIOLOGY","TURK J BIOL","SCIE",0.651,0.96,3.8,29,0.85,"4区","生物","生物学","否","否","Quarterly","95",1994,"TURKEY","Yes","容易","较慢,6-12周",8231,"https://www.letpub.com.cn/index.php?journalid=7956&page=journalapp&view=detail"
"1300-008X","TURKISH JOURNAL OF BOTANY","TURK J BOT","SCIE",1.066,1.098,9,NA,1.19,"4区","生物","植物科学","否","否","Bimonthly","60",1994,"TURKEY","Yes","较易","较慢,6-12周",6458,"https://www.letpub.com.cn/index.php?journalid=7957&page=journalapp&view=detail"
"1300-0527","TURKISH JOURNAL OF CHEMISTRY","TURK J CHEM","SCIE",1.377,1.342,9.5,41,1.31,"4区","化学","化学综合","否","否","Bimonthly","80",0,"TURKEY","Yes","容易","约3.0个月",10787,"https://www.letpub.com.cn/index.php?journalid=7958&page=journalapp&view=detail"
"1300-0985","TURKISH JOURNAL OF EARTH SCIENCES","TURK J EARTH SCI","SCIE",1.133,1.546,2.9,33,1.1,"4区","地学","地球科学综合","否","否","Tri-annual","24",199,"TURKEY","Yes","容易",">12周，或约稿",5753,"https://www.letpub.com.cn/index.php?journalid=7959&page=journalapp&view=detail"
"1300-0632","Turkish Journal of Electrical Engineering and Computer Sciences","TURK J ELECTR ENG CO","SCIE",0.58,0.697,14.8,23,0.72,"4区","工程技术","计算机：人工智能","否","否","Tri-annual","389",0,"TURKEY","Yes","容易","约6.0个月",21034,"https://www.letpub.com.cn/index.php?journalid=7960&page=journalapp&view=detail"
"1301-1111","Turkish Journal of Field Crops","TURK J FIELD CROPS","SCIE",0.689,0.758,37.3,12,0.69,"4区","农林科学","农艺学","否","否","Semiannual","33",0,"TURKEY","Yes","容易",">12周，或约稿",5320,"https://www.letpub.com.cn/index.php?journalid=7961&page=journalapp&view=detail"
"1303-2712","Turkish Journal of Fisheries and Aquatic Sciences","TURK J FISH AQUAT SC","SCIE",0.482,0.764,11.4,20,0.69,"4区","农林科学","渔业","否","否","Semiannual","155",2001,"TURKEY","Yes","容易","较慢,6-12周",5928,"https://www.letpub.com.cn/index.php?journalid=7962&page=journalapp&view=detail"
"1300-4948","Turkish Journal of Gastroenterology","TURK J GASTROENTEROL","SCIE",0.869,0.839,4.8,23,0.59,"4区","医学","胃肠肝病学","否","否","Quarterly","84",1995,"TURKEY","No","约50%","平均6月",5803,"https://www.letpub.com.cn/index.php?journalid=7963&page=journalapp&view=detail"
"1300-7777","Turkish Journal of Hematology","TURK J HEMATOL","SCIE",0.65,0.632,13.4,NA,0.4,"4区","医学","血液学","否","否","Quarterly","42",1995,"TURKEY","Yes","约75%","平均1月",4203,"https://www.letpub.com.cn/index.php?journalid=7964&page=journalapp&view=detail"
"1300-0098","Turkish Journal of Mathematics","TURK J MATH","SCIE",0.614,0.549,6.5,20,0.59,"4区","数学","数学","否","否","Quarterly","139",0,"TURKEY","Yes","容易","较慢,6-12周",9938,"https://www.letpub.com.cn/index.php?journalid=7965&page=journalapp&view=detail"
"1300-0144","Turkish Journal Of Medical Sciences","TURK J MED SCI","SCIE",0.641,0.605,1.4,21,0.72,"4区","医学","医学：内科","否","否","Bimonthly","276",1994,"TURKEY","Yes","容易","一般,3-8周",5432,"https://www.letpub.com.cn/index.php?journalid=7966&page=journalapp&view=detail"
"0041-4301","TURKISH JOURNAL OF PEDIATRICS","TURKISH J PEDIATR","SCIE",0.187,0.526,2.1,32,0.38,"4区","医学","儿科","否","否","Quarterly","62",1958,"TURKEY","No","容易","较慢,6-12周",4900,"https://www.letpub.com.cn/index.php?journalid=7967&page=journalapp&view=detail"
"1309-0291","Turkish Journal of Rheumatology","TURK J RHEUMATOL","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Quarterly","0",2009,"TURKEY","Yes","容易",">12周，或约稿",4616,"https://www.letpub.com.cn/index.php?journalid=7968&page=journalapp&view=detail"
"1300-0128","TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES","TURK J VET ANIM SCI","SCIE",0.489,0.587,5.3,NA,0.63,"4区","农林科学","兽医学","否","否","Bimonthly","112",1994,"TURKEY","Yes","容易","约24.0个月",6448,"https://www.letpub.com.cn/index.php?journalid=7969&page=journalapp&view=detail"
"1300-0179","TURKISH JOURNAL OF ZOOLOGY","TURK J ZOOL","SCIE",0.558,0.689,6.5,23,0.77,"4区","生物","动物学","否","否","Quarterly","131",0,"TURKEY","Yes","容易","较慢,6-12周",4408,"https://www.letpub.com.cn/index.php?journalid=7970&page=journalapp&view=detail"
"1019-5149","Turkish Neurosurgery","TURK NEUROSURG","SCIE",0.775,0.846,7.2,20,0.76,"4区","医学","临床神经病学","否","否","Quarterly","149",1989,"TURKEY","No","约75%","平均2月",5694,"https://www.letpub.com.cn/index.php?journalid=7971&page=journalapp&view=detail"
